Oi;Oi, sou o VillaniBot e posso ajudar tirando algumas dúvidas sobre o novo coronavírus. O que gostaria de saber sobre coronavírus?
Olá;Oi, sou o VillaniBot e posso ajudar tirando algumas dúvidas sobre o novo coronavírus. O que gostaria de saber sobre coronavírus?
Boa noite;Oi, sou o VillaniBot e posso ajudar tirando algumas dúvidas sobre o novo coronavírus. O que gostaria de saber sobre coronavírus?
Bom dia;Oi, sou o VillaniBot e posso ajudar tirando algumas dúvidas sobre o novo coronavírus. O que gostaria de saber sobre coronavírus?
Qual o seu nome;Oi, sou o VillaniBot e posso ajudar tirando algumas dúvidas sobre o novo coronavírus. O que gostaria de saber sobre coronavírus?
O que é o novo coronavírus?;O novo coronavírus é assim chamado pois não havia sido identificado anteriormente, sendo descoberto em 31/12/2019, após casos registrados na China. Os coronavírus são uma grande família de vírus que podem causar doenças em humanos ou em animais. O diagnóstico do novo coronavírus causador da doença Covid-19 não é igual ao diagnóstico dos coronavírus que comumente circulam entre humanos e que causam doenças leves a moderadas como o resfriado comum.
Quais são os sintomas da Covid-19?;Os sintomas variam de moderados a graves, podendo causar morte. Sensação febril ou febre, mesmo que relatada, acompanhada de tosse OU dor de garganta OU coriza OU dificuldade respiratória OU dificuldade para respirar podem aparecer de 2 a 14 dias após a contaminação com o novo coronavírus. Algumas pessoas infectadas com o novo coronavírus podem não apresentar sintomas, no entanto, mesmo assim transmitem o vírus.
Como o vírus é transmitido?;A transmissão do novo coronavírus ocorre de uma pessoa doente para outra através da dispersão pelo ar de gotículas contaminadas do nariz ou da boca, que também podem se espalhar no ambiente e se depositar em objetos e superfícies. Ao tocar esses objetos e superfícies contaminados, e depois tocar os olhos, o nariz ou a boca, outra pessoa pode se contaminar. Além disso, qualquer pessoa que tenha contato próximo (cerca de 1m) com alguém com sintomas respiratórios está em risco de ser exposta à infecção. O novo coronavírus também é transmitido por pessoas que não apresentam sintomas.
Como evitar a transmissão?;Cubra nariz e boca com um lenço de papel ou com o antebraço ao tossir ou espirrar. Descarte o lenço de papel usado em uma lixeira. Lave imediatamente suas mãos com água e sabão por pelo menos 20 segundos. Se não tiver água e sabão, use álcool em gel a 70%. Lave frequentemente as mãos até a altura dos punhos com água e sabão por pelo menos 20 segundos, principalmente depois de ter frequentado um local público ou depois de tossir, espirrar ou tocar nariz ou boca. Se não tiver água e sabão, use álcool em gel a 70%. Evite tocar olhos, nariz e boca com as mãos sujas. Evite contato próximo. Mantenha uma distância segura (cerca de 2m) de outras pessoas. Não compartilhe objetos de uso pessoal, como talheres, pratos, copos e garrafas. Evite aglomerações e mantenha os ambientes ventilados. Evite sair de casa sem necessidade. Use uma máscara facial de tecido ao sair de casa. Limpe e desinfete frequentemente objetos e superfícies que são tocadas diariamente, como mesas, maçanetas, interruptores, bancadas, torneiras, instalações sanitárias, telefones celulares e chaves.
Como usar máscaras faciais de tecidos?;As orientações sobre o uso de máscaras faciais de tecido estão disponíveis em https://portalarquivos.saude.gov.br/images/pdf/2020/April/06/Nota-Informativa.pdf
Como é feito o diagnóstico do coronavírus?;Testes laboratoriais identificam a presença do vírus causador da COVID-19 através da coleta de materiais respiratórios (aspiração de vias aéreas ou indução de escarro). Os testes podem ser realizados nos locais de referência da rede pública de saúde ou em laboratórios privados.
Como saber se uma pessoa pode estar com Covid-19?;Avaliando se a pessoa se enquadra na definição de caso suspeito, de acordo com o Ministério da Saúde (atualizado em 03/04/2020): DEFINIÇÃO 1: SÍNDROME GRIPAL (SG): indivíduo com quadro respiratório agudo, caracterizado por sensação febril ou febre*, mesmo que relatada, acompanhada de tosse OU dor de garganta OU coriza OU dificuldade respiratória. *Na suspeita de Covid-19, a febre pode não estar presente. EM CRIANÇAS: considera-se também obstrução nasal, na ausência de outro diagnóstico específico. EM IDOSOS: a febre pode estar ausente. Deve-se considerar também critérios específicos de agravamento como sincope, confusão mental, sonolência excessiva, irritabilidade e inapetência. DEFINIÇÃO 2: SÍNDROME RESPIRATÓRIA AGUDA GRAVE (SRAG): Síndrome Gripal que apresente: dispneia/desconforto respiratório OU Pressão persistente no tórax OU saturação de O2 menor que 95% em ar ambiente OU coloração azulada dos lábios ou rosto. EM CRIANÇAS: além dos itens anteriores, observar os batimentos de asa de nariz, cianose, tiragem intercostal, desidratação e inapetência. 
Quando devo procurar atendimento médico?;Caso você desenvolva um dos sinais de alerta de emergência para COVID-19, procure imediatamente a emergência do hospital mais próximo.
Quais são os sinais de alerta de emergência para COVID-19?; Febre e tosse, Febre e dificuldade para respirar, Dor ou pressão persistente no peito, Confusão mental, Lábios ou rosto azulados.
Quando devo ficar em casa?;Caso você tenha sintomas de uma gripe leve, fique em casa, adote o isolamento social e todas as recomendações para prevenção da Covid-19 descritos na pergunta 4.
Há risco de contaminação pelo novo coronavírus quando em contato com embalagens ou produtos enviados do exterior?;Não. De acordo com a Organização Mundial de Saúde, a probabilidade de uma pessoa infectada contaminar um pacote é baixa, e o risco de contrair o novo coronavírus de um pacote que foi movimentado e exposto a diferentes condições de temperatura durante a viagem é igualmente baixo.
Qual a situação da cloroquina e hidroxicloroquina no tratamento da Covid-19 ?;Os estudos conduzidos até o momento têm um número de pacientes muito reduzido e ainda é arriscado afirmar que vai funcionar no tratamento da Covid-19. Mais dados precisam ser coletados, de maneira adequada, para haver certeza de que vai funcionar. Nós da Anvisa elaboramos uma Nota Técnica com os principais resultados obtidos até o momento para determinar a eficácia desses medicamentos. A Anvisa, da mesma forma que o FDA, não recomenda o uso indiscriminado desse medicamento, sem a confirmação de que realmente funciona.
A Anvisa proibiu a venda de cloroquina e hidroxicloroquina nas farmácias?;Não. A Anvisa não emitiu nenhum comunicado ou fez recomendações de recolhimento ou proibição de venda desses produtos. A Anvisa aumentou o controle sobre o tipo de receita exigido para a compra desses medicamentos. Antes era exigida somente a receita médica comum, sem retenção, e agora passou a ser exigida a Receita de Controle Especial em duas vias. Uma das vias fica retida na farmácia ou drogaria para controle da vigilância sanitária. A quantidade que cada pessoa pode comprar também será limitada: 5 unidades (no caso de ampolas) ou quantidade de medicamento para o tratamento correspondente a no máximo 60 dias (para as demais formas farmacêuticas). A partir de agora, o médico deve prescrever utilizando a Receita de Controle Especial em duas vias. Importante lembrar que além de todos os riscos associados à automedicação,  a compra indiscriminada de medicamentos não-indicados para o uso pode resultar em desabastecimento para os pacientes que realmente precisam da medicação. Para saber mais sobre esse assunto, veja o Perguntas e Respostas específico.
Quais as recomendações para asilos e casas de repouso?;A Anvisa publicou orientações para a prevenção e o controle de infecções pelo novo coronavírus (Covid-19) em instituições de longa permanência para idosos (ILPIs), também conhecidas como asilos ou casas de repouso. O objetivo é aumentar o cuidado para evitar infecções pelo vírus, que apresenta alta letalidade na população com 60 anos ou mais.
Quais as orientações para os profissionais e serviços de saúde?;A Anvisa atualizou as orientações destinadas aos serviços de saúde. As medidas de prevenção e controle devem ser adotadas na assistência aos casos suspeitos ou confirmados de infecção pelo novo coronavírus (Covid-19). As orientações incluem uso de equipamentos de proteção individual (EPIs), descarte do lixo e orientações para serviços odontológicos e diálise, além de outros cuidados. Acesse a Nota na íntegra. Acesse o Perguntas e Respostas - Levantamento de questionamentos recorrentes recebidos pela Gerência Geral de Tecnologia em Serviços de Saúde GGTES/ANVISA sobre a emergência de saúde pública internacional – COVID 19 - relacionada ao SARS-CoV-2.
Quais os riscos de usar narguilé e outros produtos fumígenos?;Se você fuma narguilé ou qualquer outro produto fumígeno, como cigarros, charutos, cachimbos e cigarrilhas, não compartilhe esses produtos. Essa é uma das orientações da Anvisa para evitar a disseminação da Covid-19. Não se exponha à fumaça produzida por qualquer tipo de produto fumígeno e suspenda de imediato o uso de qualquer produto desse tipo.  Denuncie à Vigilância Sanitária da sua cidade o uso desses produtos em locais fechados.