Como consultar infrações ou multas?;A consulta sobre a existência de infrações/multas por excesso de velocidade, avanço de sinal vermelho e parada sobre faixa de travessia de pedestres autuadas a partir de julho de 2012 deve ser feita pelo nosso site público: www.dnit.gov.br na opção DNIT CIDADÃO ou pelo telefone 0800 611 535. 
Onde e como recorrer da autuação?;No verso da própria Notificação de Autuação encontra-se o endereço para encaminhamento da documentação para abertura do processo de Defesa. Ainda no verso, na parte inferior, encontram-se importantes informações complementares e instrutivas para a interposição da Defesa. 
Quais prazos recorrer notificação?;O prazo para interpor a Defesa de Autuação será aquele constate na própria Notificação de Autuação, que nunca será inferior a 15 (quinze) dias da sua notificação, isto quer dizer da data em que o infrator receba a notificação da autuação em seu endereço. Art. 3º da Resolução 149/2003 do CONTRAN. O prazo para interpor o Recurso será aquele constante na Notificação de Penalidade para recolhimento de seu valor,que não será inferior a 30 (trinta) dias contados da data da Notificação, isto quer dizer da data em que o infrator recebeu a Notificação de Penalidade em seu domicílio. Art. 282 §4º, do CTB. 
Onde encaminhar a Defesa da Autuação ou Recurso?;De acordo com os Arts. 5º e 6º da Resolução nº 149/2003, do CONTRAN, o proprietário do veículo, caso não seja o condutor responsável pela infração, deverá indicar o infrator até a data limite assinalada no próprio Formulário de Indicação do Condutor Infrator – FICI, no campo INSTRUÇÕES no verso da Notificação de Autuação. Preencher o formulário (FICI) com os dados do condutor infrator, que terá que ser assinado pelo proprietário do veículo e pelo condutor infrator. Anexar cópia da (CNH) carteira nacional de habilitação do condutor infrator. O cidadão se responsabilizará nas esferas cível, administrativa e penal, pela veracidade das informações e dos documentos fornecidos. 
Como consultar o andamento de processos de defesa ou recurso?;Em relação à defesa da autuação, o interessado poderá receber o resultado do julgamento por meio de ofício ou por meio da Notificação de Penalidade conforme dispõe o Art. 9º, da Resolução nº 149/03, do CONTRAN. Em relação ao recurso contra a aplicação de multa, o interessando receberá por meio de ofício o resultado do julgamento e demais informações sobre os procedimentos administrativos. Quanto ao efeito suspensivo e demais informações sobre o andamento de processos os interessados poderão entrar em contato com as Juntas Administrativas de Recurso de Infrações - JARI, na Superintendência Regional do DNIT no seu Estado. Os endereços e telefones das Superintendências Regionais do DNIT estão disponíveis no site www.dnit.gov.br, na opção INSTITUCIONAL/QUEM É QUEM/SUPERINTENDÊNCIAS REGIONAIS DO DNIT NOS ESTADOS. Dando melhor comodidade e rapidez ao cidadão ainda poderá acessar o site www.dnit.gov.br, na opção DNIT CIDADÃO e obter as informações acima. 
prazo para julgar a defesa de autuação?;Não existe nenhuma norma legal determinando um prazo para o julgamento da Defesa da Autuação. De acordo com o Art. 11, da Resolução nº 149/03, do CONTRAN. “Não incidirá qualquer restrição, inclusive para fins de licenciamento e transferência, nos arquivos do órgão ou entidade executivo de trânsito responsável pelo registro do veículo, até que a penalidade seja aplicada”.
prazo para julgar o recurso contra a penalidade?;Conforme o Art. 285 do CTB o recurso deverá ser interposto perante a autoridade que impôs a penalidade, neste caso o DNIT, a qual remetê-lo-á à JARI, que deverá julgá-lo em até trinta (30) dias.O efeito suspensivo libera o veículo para o licenciamento. 
Solicitar o efeito suspensivo, após entrar com o recurso?;De acordo com o CTB, se por motivo de força maior o recurso não for julgado no prazo de (30) dias, a autoridade que impôs a penalidade, de ofício, ou por solicitação do recorrente, poderá conceder-lhe efeito suspensivo. É importante salientar que o efeito suspensivo não é regra, como descreve o Art. 285, § 1º do CTB. Para solicitá-lo você deverá fazê-lo formalmente junto a Autoridade de Trânsito do DNIT. 
Quem pode entrar com a defesa da autuação e recurso?;De acordo com o Art. 2º da Resolução nº 299/08, do CONTRAN, é parte legítima para apresentar Defesa da Autuação ou Recurso em 1ª e 2ª instâncias administrativas, a pessoa física ou jurídica proprietária do veículo, o condutor, devidamente identificado, o embarcador e o transportador, responsável pela infração. O notificado para apresentação de defesa ou recurso poderá ser representado por procurador legalmente habilitado ou por instrumento de procuração, na forma da lei, sob pena do não conhecimento da defesa da autuação ou do recurso.
Entrar única defesa de autuação único recurso várias multas?;Não. A Defesa da Autuação ou recurso terá que possuir somente um auto de infração como objeto, conforme o parágrafo único do Art. 3º da Resolução nº 299/08, do CONTRAN.
O pagamento do valor da multa pode ser parcelado?;A Lei 9.503/97 – Código de Trânsito Brasileiro, não prevê parcelamento de multas de trânsito. Porém, o Art. 284 prevê que “O pagamento da multa poderá ser efetuado até a data do vencimento expressa na Notificação, por oitenta por cento do seu valor.”
Notificação de Autuação e não consta o valor para pagamento, o que devo fazer?;A Notificação de Autuação não possui valor a pagar. Por isso, deverá aguardar o órgão de trânsito lhe encaminhar a Notificação de Penalidade, da qual constará a guia para pagamento com o valor e data de vencimento.
Posso pagar a multa dentro do prazo?;Sim, lembrando que “O pagamento da multa poderá ser efetuado até a data do vencimento expressa na notificação, por oitenta por cento do seu valor”, conforme consta no Art. 284 do CTB.
Qual a vantagem de pagar a multa no prazo? Isto influencia no julgamento do recurso?;A vantagem de pagar a multa no prazo estipulado é que você ganha o desconto permitido pelo Código de Trânsito Brasileiro (20%) e o veículo fica liberado para o licenciamento, transferência nos arquivos do órgão responsável pelo seu registro. Importante: o pagamento não tem nenhuma influência sobre o julgamento do recurso. Atenção: de acordo com as disposições contidas na Lei nº 10.522/02, o não pagamento da multa poderá implicar na inclusão do nome do devedor no Cadastro Informativo dos Créditos Não Quitados do Setor Público Federal – CADIN.
Vendi o veículo e estou recebendo multas?;Neste caso sugerimos que procure o DETRAN que detém o cadastro do veículo, solicitar de imediato o bloqueio do CRLV do veículo, impedindo o novo licenciamento e forçando o comprador a efetivar a transferência da propriedade. Para isso terá que apresentar documentação comprobatória da transação. Para todos os fins, o DNIT não possui nenhuma responsabilidade ou obrigações nos acordos comerciais. 
Minha multa foi cancelada, como solicitar o ressarcimento do valor pago?;Se a multa estiver quitada e por decisão administrativa do órgão ou por deferimento de recurso, ela for cancelada, você deve procurar uma Superintendência Regional do DNIT e dar entrada na solicitação de ressarcimento. 
dar entrada na solicitação de ressarcimento?;Elaborar a solicitação (caso queira utilizar um formulário do órgão, acesse http://www.dnit.gov.br, na opção DNIT CIDADÃO clicando no link - Formulário para Ressarcimento), juntar o comprovante de pagamento da multa com autenticação do recebimento pelo agente arrecadador, anexar cópias do CPF/CNPJ, da CNH ou outro documento de identificação que comprove a assinatura do requerente e, quando pessoa jurídica, documento comprovando a representação. Indicar o nome e número do banco, agência, conta corrente e ser o titular da mesma. Caso não seja, terá que anexar procuração ou autorização registrada em cartório ou com firma reconhecida para que o valor do ressarcimento seja depositado na conta corrente indicada. Não é permitida a indicação de conta poupança. 
Qual é o prazo para que eu seja notificado? Se com 30 (trinta) dias eu não for notificado a infração será cancelada?;De acordo com o Art. 3º da Resolução nº 149/03, do CONTRAN e Art. 281 do Código de Trânsito Brasileiro, se, no prazo máximo de 30 (trinta) dias, não for expedida a Notificação da Autuação, o auto de infração será arquivado e seu registro julgado insubsistente. Neste caso, a palavra expedida quer dizer, postada, entregue para os Correios. A multa devolvida por desatualização do endereço, para todos os fins é válida (Art. 282 §1º do CTB). 
Tenho multa aplicada pelo DNIT, como pagar?;Se não tiver em mãos a Notificação de Penalidade, preferencialmente, acessar o link: http://www.dnit.gov.br, na opção DNIT CIDADÃO, emitir o boleto bancário e quitar, preferencialmente no Banco do Brasil S.A, ou deverá solicitar a guia junto ao DETRAN de domicílio do veículo. 
Como entrar com recurso em 2ª instância administrativa?;O recurso em 2ª instância administrativa deverá ser interposto junto ao DNIT por meio do site www.dnit.gov.br, na opção DNIT CIDADÃO, no prazo de 30 (trinta) dias, contado da publicação ou da notificação da decisão (Art. 288 do CTB).